url;img;position;track;artists;streams
https://open.spotify.com/track/2kJRlOyrxsy7Ot3c5TZ8Q6;https://i.scdn.co/image/ab67616d000048515722ad4a2e4a8bc1de33dab1;1;Meu Pedaço de Pecado;['João Gomes'];940403
https://open.spotify.com/track/7aZusA4cWXz3Wv9e9uhavz;https://i.scdn.co/image/ab67616d00004851e18fdab2c030bd3aed5c2afb;2;Quer Voar;['Matuê'];751988
https://open.spotify.com/track/4PQdrXMDHDPl1RczrrlADd;https://i.scdn.co/image/ab67616d00004851e4ba474c74e6b24ba18d7c8b;3;MORENA;['Luan Santana'];710159
https://open.spotify.com/track/0FqVtQxRD3HsPltldG5v5M;https://i.scdn.co/image/ab67616d000048515722ad4a2e4a8bc1de33dab1;4;Aquelas Coisas;['João Gomes'];676055
https://open.spotify.com/track/5SwyN9hzmWjBsINlif8li8;https://i.scdn.co/image/ab67616d000048514945b446d98cf33fabc310c6;5;Ficha Limpa;['Gusttavo Lima'];669206
https://open.spotify.com/track/25141FAgU1OmwoC9W2i5E3;https://i.scdn.co/image/ab67616d000048512a3a47d42b3320552aec8b23;6;Rolê;['Tarcísio do Acordeon', 'Marcynho Sensação'];633387
https://open.spotify.com/track/5F2xRvRFkxDvqdFtUNAEyw;https://i.scdn.co/image/ab67616d000048515722ad4a2e4a8bc1de33dab1;7;Se For Amor;['João Gomes', 'Vitor Fernandes'];623005
https://open.spotify.com/track/1bWBG6IkMnDr3qvCKSvQT7;https://i.scdn.co/image/ab67616d00004851208b51937686ef6a2a92b2f8;8;Baby Me Atende;['Matheus Fernandes', 'Dilsinho'];601743
https://open.spotify.com/track/0xBQvhJAm6f7J142ympKOn;https://i.scdn.co/image/ab67616d000048511c8bc55954f403190538ce8f;9;Não, Não Vou;['Mari Fernandez'];533981
https://open.spotify.com/track/6pQKUKBpwr6GhfhcFFFozo;https://i.scdn.co/image/ab67616d0000485116842124fadf5256b4b16a96;10;Não Nasceu pra Namorar;['MC Zaquin', 'MC Rick'];519072
https://open.spotify.com/track/41pFFOnh1glVNIlrWOpBjb;https://i.scdn.co/image/ab67616d0000485161722b55638ad4b493437e6e;11;Se Joga no Passinho;['Brisa Star', 'Thiago Jhonathan (TJ)'];502222
https://open.spotify.com/track/27NovPIUIRrOZoCHxABJwK;https://i.scdn.co/image/ab67616d00004851ba26678947112dff3c3158bf;12;INDUSTRY BABY (feat. Jack Harlow);['Lil Nas X'];501100
https://open.spotify.com/track/7gMWTBRgB5CZdNDSuweCyr;https://i.scdn.co/image/ab67616d00004851b97e4b3d7ed89abd24e4df01;13;Se Essa Bunda;['Costa Gold', 'Kawe', 'André Nine'];491926
https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e;https://i.scdn.co/image/ab67616d00004851fa0ab3a28b5c52d8a5f97045;14;Beggin';['Måneskin'];486627
https://open.spotify.com/track/1oIqP923yBKV45IaXm5s14;https://i.scdn.co/image/ab67616d000048510394a52f692fc791ae423b2d;15;Zero Saudade - Ao Vivo;['Os Barões Da Pisadinha', 'Maiara & Maraisa'];478459
https://open.spotify.com/track/0wRn3ggAY1fIupTaVigdza;https://i.scdn.co/image/ab67616d00004851f397a8f1958e9565425112e6;16;A Cara do Crime (Nós Incomoda);['Mc Poze do Rodo', 'Bielzin', 'Mainstreet', 'MC Cabelinho', 'PL Quest', 'Neo Beats'];446998
https://open.spotify.com/track/5VTqW8raQYnj2avZ27nO2a;https://i.scdn.co/image/ab67616d00004851cc10f4ca3538cc0d0ea401c3;17;penhasco.;['Luísa Sonza'];443630
https://open.spotify.com/track/7Kba4OaxQFQ1zlknQUpNqN;https://i.scdn.co/image/ab67616d000048514b2022c3b2314327b744fce1;18;Faz Amor Comigo Só Hoje - Ao Vivo;['Israel & Rodolffo', 'Wesley Safadão'];441559
https://open.spotify.com/track/0qxLQ6opocOGyFnlXqJ53x;https://i.scdn.co/image/ab67616d00004851db8887fdc9f1052b54a9bd65;19;Bipolar;['Mc Davi', 'Mc Pedrinho', 'Mc Don Juan'];428945
https://open.spotify.com/track/3HquWF2pZmWYu3WAEP9Heb;https://i.scdn.co/image/ab67616d0000485167d31043d16d7fb56fd22057;20;Só Não Divulga;['Fernando & Sorocaba', 'Tarcísio do Acordeon'];422800
https://open.spotify.com/track/6HV630GY0GT3RN2efFRmbP;https://i.scdn.co/image/ab67616d00004851f31a4cd4fcf00749d0d49422;21;Troca;['Jorge & Mateus'];400929
https://open.spotify.com/track/4P7IXYPAkinTdZrBF5bGWp;https://i.scdn.co/image/ab67616d00004851723aae50e316e2c6d18b7471;22;Você Beberia Ou Não Beberia?;['Zé Neto & Cristiano'];390842
https://open.spotify.com/track/3CUPWFarYwA0HJQqzje4UD;https://i.scdn.co/image/ab67616d000048519b3b249e36dfc06fba1bcfdf;23;Volta Rapariga;['Vitinho Imperador'];375705
https://open.spotify.com/track/7IG7laqVpcvIIULrwWP5SA;https://i.scdn.co/image/ab67616d00004851863762d02b8eabaaec806197;24;Vida Louca;['Mc Poze do Rodo', 'Neo Beats', 'Mainstreet'];374914
https://open.spotify.com/track/2R9IrE42Mw4zdUXAEFNiZL;https://i.scdn.co/image/ab67616d00004851beab1b8ce544dc064445b2c4;25;Senta Danada;['Zé Felipe', 'Os Barões Da Pisadinha'];367901
https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8;https://i.scdn.co/image/ab67616d000048512a038d3bf875d23e4aeaa84e;26;Happier Than Ever;['Billie Eilish'];367826
https://open.spotify.com/track/2MZQAvsA7aZDssppBLRxYp;https://i.scdn.co/image/ab67616d000048519726aea0a29b86961db39a23;27;Batom de Cereja - Ao Vivo;['Israel & Rodolffo'];362961
https://open.spotify.com/track/6giaOyDFbE4J8iclhCdW7E;https://i.scdn.co/image/ab67616d00004851f521e6f8e283a7589a4d7f26;28;Poesia Acústica 11: Nada Mudou;['Pineapple StormTv', 'Azzy', 'MC Ryan SP', 'Chris MC', 'Xamã', 'Lourena', 'L7NNON', 'Cynthia Luz', 'Mc Poze do Rodo', 'Salve Malak'];360989
https://open.spotify.com/track/3ibiPPqHxdmX4nNp4kNHE9;https://i.scdn.co/image/ab67616d00004851a97131f66f8c479c9b17cb1f;29;Passatempo;['Wesley Safadão'];340912
https://open.spotify.com/track/4u06FbRh6FvV2FQZkouzCw;https://i.scdn.co/image/ab67616d00004851b0aa687ae0900288e213e4dd;30;Arranhão - Ao Vivo;['Henrique & Juliano'];332237
