url;img;position;track;artists;streams
https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX;https://i.scdn.co/image/ab67616d000048518e6551a2944764bc8e33a960;1;STAY (with Justin Bieber);['The Kid LAROI'];9218788
https://open.spotify.com/track/27NovPIUIRrOZoCHxABJwK;https://i.scdn.co/image/ab67616d00004851ba26678947112dff3c3158bf;2;INDUSTRY BABY (feat. Jack Harlow);['Lil Nas X'];5803231
https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e;https://i.scdn.co/image/ab67616d00004851fa0ab3a28b5c52d8a5f97045;3;Beggin';['Måneskin'];5591945
https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE;https://i.scdn.co/image/ab67616d0000485114a5222ca8fdf13d5c050496;4;Bad Habits;['Ed Sheeran'];5192794
https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG;https://i.scdn.co/image/ab67616d00004851a91c10fe9472d9bd89802e5a;5;good 4 u;['Olivia Rodrigo'];4851132
https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8;https://i.scdn.co/image/ab67616d000048512a038d3bf875d23e4aeaa84e;6;Happier Than Ever;['Billie Eilish'];4824538
https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz;https://i.scdn.co/image/ab67616d000048514df3245f26298a1579ecc321;7;Kiss Me More (feat. SZA);['Doja Cat'];3733829
https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd;https://i.scdn.co/image/ab67616d00004851664034dd80e91b28f773598d;8;MONTERO (Call Me By Your Name);['Lil Nas X'];3715388
https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi;https://i.scdn.co/image/ab67616d000048514df3245f26298a1579ecc321;9;Need To Know;['Doja Cat'];3697962
https://open.spotify.com/track/6OGogr19zPTM4BALXuMQpF;https://i.scdn.co/image/ab67616d000048513c041e53cb5c38b6de03e758;10;Take My Breath;['The Weeknd'];3678332
https://open.spotify.com/track/5fwSHlTEWpluwOM0Sxnh5k;https://i.scdn.co/image/ab67616d00004851c77a01f0166fd8343d3a3edb;11;Pepas;['Farruko'];3342522
https://open.spotify.com/track/2vmfvSoZBFAt9hhRoEByLi;https://i.scdn.co/image/ab67616d0000485112bcec4f18ee130369ce170c;12;Volví;['Aventura', 'Bad Bunny'];3330145
https://open.spotify.com/track/5RwV8BvLfX5injfqYodke9;https://i.scdn.co/image/ab67616d00004851c1449d5655128274517f3733;13;Todo De Ti;['Rauw Alejandro'];3319497
https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk;https://i.scdn.co/image/ab67616d000048515aa05015cfa7bd2943c29b21;14;I WANNA BE YOUR SLAVE;['Måneskin'];3094451
https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS;https://i.scdn.co/image/ab67616d0000485164afd6879102d03460bd3ad9;15;Yonaguni;['Bad Bunny'];2980901
https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF;https://i.scdn.co/image/ab67616d00004851d4daf28d55fe4197ede848be;16;Levitating (feat. DaBaby);['Dua Lipa'];2809854
https://open.spotify.com/track/6hf0RpxTbOprT5nnwzkk8e;https://i.scdn.co/image/ab67616d0000485174063b2c20fb50f80388eac2;17;Qué Más Pues?;['J Balvin', 'Maria Becerra'];2780616
https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT;https://i.scdn.co/image/ab67616d00004851a91c10fe9472d9bd89802e5a;18;traitor;['Olivia Rodrigo'];2702356
https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI;https://i.scdn.co/image/ab67616d00004851e6f407c7f3a0ec98845e4431;19;Peaches (feat. Daniel Caesar & Giveon);['Justin Bieber'];2610433
https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy;https://i.scdn.co/image/ab67616d00004851c6af5ffa661a365b77df6ef6;20;Save Your Tears (with Ariana Grande) (Remix);['The Weeknd'];2419521
https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4;https://i.scdn.co/image/ab67616d000048514df3245f26298a1579ecc321;21;Woman;['Doja Cat'];2327454
https://open.spotify.com/track/2bgTY4UwhfBYhGT4HUYStN;https://i.scdn.co/image/ab67616d000048516bb2b8231817c8d205d07fb2;22;Butter;['BTS'];2302925
https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr;https://i.scdn.co/image/ab67616d00004851a91c10fe9472d9bd89802e5a;23;deja vu;['Olivia Rodrigo'];2256248
https://open.spotify.com/track/5eXBXreN3d1zdj6Sa8dS0u;https://i.scdn.co/image/ab67616d00004851db49bb80a6398e02037ffa39;24;Permission to Dance;['BTS'];2236666
https://open.spotify.com/track/05bfbizlM5AX6Mf1RRyMho;https://i.scdn.co/image/ab67616d000048512ae66aa58208495074d88fd0;25;AM Remix;['Nio Garcia', 'J Balvin', 'Bad Bunny'];2155753
https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b;https://i.scdn.co/image/ab67616d000048518863bc11d2aa12b54f5aeb36;26;Blinding Lights;['The Weeknd'];2095682
https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH;https://i.scdn.co/image/ab67616d00004851a91c10fe9472d9bd89802e5a;27;drivers license;['Olivia Rodrigo'];2084623
https://open.spotify.com/track/5lAnYvAIkSDNXqfo7DyFUm;https://i.scdn.co/image/ab67616d000048514df3245f26298a1579ecc321;28;Ain't Shit;['Doja Cat'];2055289
https://open.spotify.com/track/0G2zPzWqVjR68iNPmx2TBe;https://i.scdn.co/image/ab67616d00004851c06f8626913962e921586190;29;Volando - Remix;['Mora', 'Bad Bunny', 'Sech'];2044126
https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx;https://i.scdn.co/image/ab67616d000048519e495fb707973f3390850eea;30;Heat Waves;['Glass Animals'];2042877
https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh;https://i.scdn.co/image/ab67616d000048516f9e6abbd6fa43ac3cdbeee0;31;Leave The Door Open;['Bruno Mars', 'Anderson .Paak', 'Silk Sonic'];1941147
https://open.spotify.com/track/2tGvwE8GcFKwNdAXMnlbfl;https://i.scdn.co/image/ab67616d00004851a91c10fe9472d9bd89802e5a;32;happier;['Olivia Rodrigo'];1840126
https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl;https://i.scdn.co/image/ab67616d00004851815cb538fd7821595b2bc8c5;33;Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit;['Riton', 'Nightcrawlers'];1768241
https://open.spotify.com/track/6w8yBI2vthyN9UnwO4UBWb;https://i.scdn.co/image/ab67616d0000485172d28bb056b972b4f6a04bf3;34;Entre Nosotros;['Tiago PZK', 'LIT killah'];1756373
https://open.spotify.com/track/2eKY4TBKeXnUXMtSLj4R0n;https://i.scdn.co/image/ab67616d00004851aedeb1ddb9049f9059f94057;35;París;['Ingratax'];1739117
https://open.spotify.com/track/27RSJHEA99Y0Vsow7nA37A;https://i.scdn.co/image/ab67616d00004851b6afd6496eaf917ceaa5730a;36;911 - Remix;['Sech', 'Jhay Cortez'];1723189
https://open.spotify.com/track/0BGwAKW4u8kWOhWFflZxfl;https://i.scdn.co/image/ab67616d000048518d67a1b7d486b5bd5cacee5e;37;Astronaut In The Ocean;['Masked Wolf'];1693691
https://open.spotify.com/track/4XvcHTUfIlWfyJTRG0aqlo;https://i.scdn.co/image/ab67616d0000485178376f650afd63698b82e4b1;38;2055;['Sleepy Hallow'];1679786
https://open.spotify.com/track/1058fW9H3fZA6QjYCdOBad;https://i.scdn.co/image/ab67616d00004851d24bb6aa36842e45bdd3d1cc;39;Don't Go Yet;['Camila Cabello'];1668801
https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY;https://i.scdn.co/image/ab67616d0000485177fdcfda6535601aff081b6a;40;Watermelon Sugar;['Harry Styles'];1634209
https://open.spotify.com/track/0MMyJUC3WNnFS1lit5pTjk;https://i.scdn.co/image/ab67616d00004851a91c10fe9472d9bd89802e5a;41;jealousy, jealousy;['Olivia Rodrigo'];1585086
https://open.spotify.com/track/2rCbl9naJYhaxjLsfx88uM;https://i.scdn.co/image/ab67616d00004851ee3c93eb863c564418d8f921;42;Pareja Del Año;['Sebastian Yatra', 'Myke Towers'];1575343
https://open.spotify.com/track/5JCoSi02qi3jJeHdZXMmR8;https://i.scdn.co/image/ab67616d00004851a91c10fe9472d9bd89802e5a;43;favorite crime;['Olivia Rodrigo'];1550488
https://open.spotify.com/track/4HzqWEdAbzcVFDv0pvxV4w;https://i.scdn.co/image/ab67616d000048510c912949e9f848cc95797b27;44;Sobrio;['Maluma'];1539211
https://open.spotify.com/track/0cOa970mzTWAxKtltpkpLc;https://i.scdn.co/image/ab67616d00004851610c6b200ecf596166c50d90;45;Miénteme;['TINI', 'Maria Becerra'];1499598
https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49;https://i.scdn.co/image/ab67616d00004851005ee342f4eef2cc6e8436ab;46;DÁKITI;['Bad Bunny', 'Jhay Cortez'];1486529
https://open.spotify.com/track/18vXApRmJSgQ6wG2ll9AOg;https://i.scdn.co/image/ab67616d00004851a493e05c99d8ec5e8020ff2b;47;RAPSTAR;['Polo G'];1461250
https://open.spotify.com/track/4OwhwvKESFtuu06dTgct7i;https://i.scdn.co/image/ab67616d000048515a048cbaa3385de9f723c699;48;Tiroteo - Remix;['Marc Seguí', 'Rauw Alejandro', 'Pol Granch'];1440244
https://open.spotify.com/track/6OufwUcCqo81guU2jAlDVP;https://i.scdn.co/image/ab67616d0000485181376e47003d45f6513b5657;49;Love Tonight - Edit;['Shouse'];1437985
https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc;https://i.scdn.co/image/ab67616d000048513deb4b0115410a85afe31c29;50;Dynamite;['BTS'];1430482
https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m;https://i.scdn.co/image/ab67616d0000485184c53fa832dfa265192419c5;51;Mood (feat. iann dior);['24kGoldn'];1379391
https://open.spotify.com/track/40uMIn2zJLAQhNXghRjBed;https://i.scdn.co/image/ab67616d000048513520e90ee2daf6000ab507cb;52;Motley Crew;['Post Malone'];1372065
https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN;https://i.scdn.co/image/ab67616d00004851f461bbc21a9bcec43a926973;53;The Business;['Tiësto'];1367726
https://open.spotify.com/track/7EkWXAI1wn8Ii883ecd9xr;https://i.scdn.co/image/ab67616d000048519efda673310de265a2c1cf1f;54;Freaks;['Surf Curse'];1354605
https://open.spotify.com/track/3PwRuzdphgedcWVUOVYJ7I;https://i.scdn.co/image/ab67616d00004851c1449d5655128274517f3733;55;Cúrame;['Rauw Alejandro'];1353787
https://open.spotify.com/track/1WedZeiezCmCEOzLwhx0hV;https://i.scdn.co/image/ab67616d00004851a7d29ec22bb580efedf76275;56;Poblado - Remix;['J Balvin', 'KAROL G', 'Nicky Jam', 'Crissin', 'Totoy El Frio', 'Natan & Shander'];1336990
https://open.spotify.com/track/5K6Ssv4Z3zRvxt0P6EKUAP;https://i.scdn.co/image/ab67616d00004851f4bfb27a5cba871dad09e26d;57;Heartbreak Anthem (with David Guetta & Little Mix);['Galantis'];1326935
https://open.spotify.com/track/6PDlkWmrq2ZKiUuFt2aQsH;https://i.scdn.co/image/ab67616d00004851af46b3e0233eeae09b1b3bb3;58;Loco;['Justin Quiles', 'Chimbala', 'Zion & Lennox'];1289943
https://open.spotify.com/track/4qu63nuBpdn0qHUHuObEj1;https://i.scdn.co/image/ab67616d00004851ae40468931087f78919b86ce;59;Leave Before You Love Me (with Jonas Brothers);['Marshmello'];1275257
https://open.spotify.com/track/2sXf2JdbB2GlNju00kw9WE;https://i.scdn.co/image/ab67616d00004851ebd6d297f2cdeeadb58243a0;60;Skate;['Bruno Mars', 'Anderson .Paak', 'Silk Sonic'];1259037
https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g;https://i.scdn.co/image/ab67616d000048518863bc11d2aa12b54f5aeb36;61;Save Your Tears;['The Weeknd'];1250233
https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62;https://i.scdn.co/image/ab67616d00004851bd26ede1ae69327010d49946;62;Don't Start Now;['Dua Lipa'];1232716
https://open.spotify.com/track/0k4d5YPDr1r7FX77VdqWez;https://i.scdn.co/image/ab67616d000048514df3245f26298a1579ecc321;63;You Right;['Doja Cat', 'The Weeknd'];1230586
https://open.spotify.com/track/38GBNKZUhfBkk3oNlWzRYd;https://i.scdn.co/image/ab67616d000048512a038d3bf875d23e4aeaa84e;64;NDA;['Billie Eilish'];1229488
https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf;https://i.scdn.co/image/ab67616d00004851fc2101e6889d6ce9025f85f2;65;Someone You Loved;['Lewis Capaldi'];1219316
https://open.spotify.com/track/63aj87TQG6F3RVO5nbG2VQ;https://i.scdn.co/image/ab67616d000048512e6afa31fc58b96531768d8d;66;In Da Getto;['J Balvin', 'Skrillex'];1212966
https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6;https://i.scdn.co/image/ab67616d0000485178f71c0d2fe34592a3c18f80;67;Sweater Weather;['The Neighbourhood'];1204816
https://open.spotify.com/track/0b18g3G5spr4ZCkz7Y6Q0Q;https://i.scdn.co/image/ab67616d00004851f05cf0af79d057704dc994f4;68;Rasputin;['Majestic', 'Boney M.'];1198922
https://open.spotify.com/track/2UbVnbE5FH6008mAm6Mmgw;https://i.scdn.co/image/ab67616d000048518120d2b107af14b1bf67cd06;69;Run;['OneRepublic'];1188836
https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C;https://i.scdn.co/image/ab67616d0000485159ce61a220822995a3ccd27f;70;Arcade;['Duncan Laurence'];1187477
https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0;https://i.scdn.co/image/ab67616d000048515ef878a782c987d38d82b605;71;positions;['Ariana Grande'];1182196
https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp;https://i.scdn.co/image/ab67616d0000485118ff322fcdd47c9400872da6;72;Heartbreak Anniversary;['Giveon'];1149515
https://open.spotify.com/track/5zFglKYiknIxks8geR8rcL;https://i.scdn.co/image/ab67616d0000485186a8ab515de4b7aef28cd631;73;Beautiful Mistakes (feat. Megan Thee Stallion);['Maroon 5'];1145186
https://open.spotify.com/track/4rPkN1FMzQyFNP9cLUGIIB;https://i.scdn.co/image/ab67616d00004851bd26ede1ae69327010d49946;74;Love Again;['Dua Lipa'];1144751
https://open.spotify.com/track/43qcs9NpJhDxtG91zxFkj7;https://i.scdn.co/image/ab67616d000048517725ef758fa90bc18f0cd261;75;Fiel - Remix;['Wisin', 'Jhay Cortez', 'Anuel AA', 'Los Legendarios', 'Myke Towers'];1140896
https://open.spotify.com/track/6SRsiMl7w1USE4mFqrOhHC;https://i.scdn.co/image/ab67616d00004851a91c10fe9472d9bd89802e5a;76;brutal;['Olivia Rodrigo'];1093981
https://open.spotify.com/track/2CVChktEKBsM6v4IfdFU5k;https://i.scdn.co/image/ab67616d000048517eab040e70403faadf974f2f;77;double take;['dhruv'];1093646
https://open.spotify.com/track/5zNW5ARjYhJQJz1AChP33n;https://i.scdn.co/image/ab67616d00004851ac1c01aec658e90fcd23f857;78;Thot Shit;['Megan Thee Stallion'];1080414
https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx;https://i.scdn.co/image/ab67616d00004851f1462ebfec5f96421f44dcd3;79;Your Love (9PM);['ATB', 'Topic', 'A7S'];1077185
https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B;https://i.scdn.co/image/ab67616d00004851044a5466dac00f7b3c570b99;80;telepatía;['Kali Uchis'];1065155
https://open.spotify.com/track/39LLxExYz6ewLAcYrzQQyP;https://i.scdn.co/image/ab67616d00004851bd26ede1ae69327010d49946;81;Levitating;['Dua Lipa'];1060461
https://open.spotify.com/track/1JXBNvlDEl2epKSJ9EOgKX;https://i.scdn.co/image/ab67616d000048518e6551a2944764bc8e33a960;82;NOT SOBER (feat. Polo G & Stunna Gambino);['The Kid LAROI'];1054100
https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9;https://i.scdn.co/image/ab67616d000048519109b0425fb5b36284a24891;83;Goosebumps - Remix;['Travis Scott', 'HVME'];1050149
https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA;https://i.scdn.co/image/ab67616d00004851df16d539f508603bfb1efe02;84;WITHOUT YOU;['The Kid LAROI'];1043598
https://open.spotify.com/track/7BoobGhD4x5K96Me0hqC8Q;https://i.scdn.co/image/ab67616d00004851aeeb722667c831a4f5429ff0;85;Build a Bitch;['Bella Poarch'];1037811
https://open.spotify.com/track/2N8m6CYs74qQO4mjVcXO30;https://i.scdn.co/image/ab67616d000048518e8197111f9d57793a5e7eff;86;Dance Monkey;['Tones And I'];1034493
https://open.spotify.com/track/0PwFN7vRvY80Hnkoew2x3f;https://i.scdn.co/image/ab67616d00004851c1449d5655128274517f3733;87;2/Catorce;['Rauw Alejandro', 'Mr. Naisgai'];1029763
https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4;https://i.scdn.co/image/ab67616d000048518a3f0a3ca7929dea23cd274c;88;lovely (with Khalid);['Billie Eilish'];1015958
https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9;https://i.scdn.co/image/ab67616d0000485191e93c59bacfe819db9601eb;89;Head & Heart (feat. MNEK);['Joel Corry'];1009299
https://open.spotify.com/track/65OVbaJR5O1RmwOQx0875b;https://i.scdn.co/image/ab67616d000048518b20e4631fa15d3953528bbc;90;Wants and Needs (feat. Lil Baby);['Drake'];1008183
https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb;https://i.scdn.co/image/ab67616d000048519478c87599550dd73bfa7e02;91;Circles;['Post Malone'];1007110
https://open.spotify.com/track/0W6I02J9xcqK8MtSeosEXb;https://i.scdn.co/image/ab67616d000048514df3245f26298a1579ecc321;92;Get Into It (Yuh);['Doja Cat'];998792
https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP;https://i.scdn.co/image/ab67616d000048517b9639babbe96e25071ec1d4;93;Before You Go;['Lewis Capaldi'];994986
https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF;https://i.scdn.co/image/ab67616d0000485156ac7b86e090f307e218e9c8;94;7 rings;['Ariana Grande'];989963
https://open.spotify.com/track/59L8x0xy8njj75vzVCPMqg;https://i.scdn.co/image/ab67616d00004851a7139a321e02756c596076e4;95;Fulanito;['Becky G', 'El Alfa'];985740
https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG;https://i.scdn.co/image/ab67616d000048513e0698e4ae5ffb82a005aeeb;96;Come & Go (with Marshmello);['Juice WRLD'];984994
https://open.spotify.com/track/2kJRlOyrxsy7Ot3c5TZ8Q6;https://i.scdn.co/image/ab67616d000048515722ad4a2e4a8bc1de33dab1;97;Meu Pedaço de Pecado;['João Gomes'];973365
https://open.spotify.com/track/3ggtU1ZOKO8ZNiqPNyXGcm;https://i.scdn.co/image/ab67616d0000485138c99f64fec0cfebda3bfb6f;98;Dinero;['Trinidad Cardona'];970683
https://open.spotify.com/track/7MC4XR9M9amdmKQr2iDF7i;https://i.scdn.co/image/ab67616d000048510953bc41694626f776e47ea5;99;Iko Iko (My Bestie);['Justin Wellington', 'Small Jam'];962720
https://open.spotify.com/track/0siYMEsGrzzzlWLXK5zJfS;https://i.scdn.co/image/ab67616d00004851b06c09b9f72389ee7f1cbd6b;100;BED;['Joel Corry', 'RAYE', 'David Guetta'];960481
https://open.spotify.com/track/2aTKrdenCq5qBOoJPFdn4P;https://i.scdn.co/image/ab67616d000048510f77b506b28aa892702cc101;101;Here's Your Perfect;['Jamie Miller'];957730
https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP;https://i.scdn.co/image/ab67616d000048515675e83f707f1d7271e5cf8a;102;Believer;['Imagine Dragons'];954690
https://open.spotify.com/track/2MnLkFqY9Rpg9s3Zv6ZJdK;https://i.scdn.co/image/ab67616d00004851e7de40d8dfd047820c79ce6b;103;Botella Tras Botella;['Gera MX', 'Christian Nodal'];948214
https://open.spotify.com/track/2FSGUA0gFgGeQdprjtGM2M;https://i.scdn.co/image/ab67616d00004851ae28c8f2748587cc2a33d6c2;104;EL MAKINON;['KAROL G', 'Mariah Angeliq'];944090
https://open.spotify.com/track/2KcNrONbZ0hvBPjvrDO2tx;https://i.scdn.co/image/ab67616d0000485101630da70721f094766d2d92;105;ALMAS GEMELAS;['Myke Towers'];940193
https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3;https://i.scdn.co/image/ab67616d00004851ba5db46f4b838ef6027e6f96;106;Shape of You;['Ed Sheeran'];933093
https://open.spotify.com/track/42ahuAFlYGjIGBpVdHcLij;https://i.scdn.co/image/ab67616d00004851aa89966e4d984b3b4c4f3fb9;107;YaMeFui;['Bizarrap', 'Duki', 'Nicki Nicole'];930286
https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5;https://i.scdn.co/image/ab67616d00004851e6f407c7f3a0ec98845e4431;108;Hold On;['Justin Bieber'];927078
https://open.spotify.com/track/37y7iDayfwm3WXn5BiAoRk;https://i.scdn.co/image/ab67616d00004851263886a4992c39704c601409;109;Dark Red;['Steve Lacy'];926794
https://open.spotify.com/track/21AJQhGZpujjZQXByZAXpr;https://i.scdn.co/image/ab67616d00004851a12c000028e343a8496612bf;110;REPEAT IT (with Gunna);['Lil Tecca'];923646
https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs;https://i.scdn.co/image/ab67616d0000485150c22294cd0ef1271dd7df3c;111;Fiel;['Los Legendarios', 'Wisin', 'Jhay Cortez'];922354
https://open.spotify.com/track/4t2OeILB07eMGTXSUbMPEu;https://i.scdn.co/image/ab67616d000048512a038d3bf875d23e4aeaa84e;112;Oxytocin;['Billie Eilish'];919516
https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf;https://i.scdn.co/image/ab67616d0000485182b243023b937fd579a35533;113;Streets;['Doja Cat'];917953
https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v;https://i.scdn.co/image/ab67616d00004851ba5db46f4b838ef6027e6f96;114;Perfect;['Ed Sheeran'];916306
https://open.spotify.com/track/776AftMmFFAWUIEAb3lHhw;https://i.scdn.co/image/ab67616d000048515aa05015cfa7bd2943c29b21;115;ZITTI E BUONI;['Måneskin'];913421
