url;img;position;track;artists;streams
https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF;https://i.scdn.co/image/ab67616d0000485156ac7b86e090f307e218e9c8;1;7 rings;['Ariana Grande'];21308
https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e;https://i.scdn.co/image/ab67616d00004851fa0ab3a28b5c52d8a5f97045;2;Beggin';['Måneskin'];20219
https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX;https://i.scdn.co/image/ab67616d000048518e6551a2944764bc8e33a960;3;STAY (with Justin Bieber);['The Kid LAROI'];19987
https://open.spotify.com/track/4sYRSjyOQeOo7iDrnDBLPU;https://i.scdn.co/image/ab67616d000048519eff75b1cfe1bbb31fe181c5;4;وش عذرك;['Abdullah Al Farwan'];19480
https://open.spotify.com/track/27NovPIUIRrOZoCHxABJwK;https://i.scdn.co/image/ab67616d00004851ba26678947112dff3c3158bf;5;INDUSTRY BABY (feat. Jack Harlow);['Lil Nas X'];15366
https://open.spotify.com/track/7jtQIBanIiJOMS6RyCx6jZ;https://i.scdn.co/image/ab67616d000048511b51f809c31f0d98f67c0b7d;6;Another Love;['Tom Odell'];13957
https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd;https://i.scdn.co/image/ab67616d00004851664034dd80e91b28f773598d;7;MONTERO (Call Me By Your Name);['Lil Nas X'];13003
https://open.spotify.com/track/2gFZxR3Fur5t6fUzKgo7Y9;https://i.scdn.co/image/ab67616d00004851804361f3fd1b7fd6ff3c90ce;8;اشكر جمالك;['Abdullah Al Mukhles'];12907
https://open.spotify.com/track/6ZQoqQ9YYKrf52JRNvueLH;https://i.scdn.co/image/ab67616d0000485166bca7cb29d1768995a8ee31;9;الدنيا دوارة;['بدر العزي'];12498
https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG;https://i.scdn.co/image/ab67616d000048513e0698e4ae5ffb82a005aeeb;10;Come & Go (with Marshmello);['Juice WRLD'];12199
https://open.spotify.com/track/2GxR28DVvyvL5VX6H45Wa0;https://i.scdn.co/image/ab67616d000048518c513ef25d8684d778ace9b4;11;بتروح عادي;['Abdullah Al Farwan'];12009
https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz;https://i.scdn.co/image/ab67616d000048514df3245f26298a1579ecc321;12;Kiss Me More (feat. SZA);['Doja Cat'];10674
https://open.spotify.com/track/46yomiaXs8v46l4xbf4YwR;https://i.scdn.co/image/ab67616d00004851e5e9f24bddc7c1ac777f7e33;13;وافي في حبك;['Abdullah Al Farwan'];9941
https://open.spotify.com/track/21redrQKfqom4LJarOQtQS;https://i.scdn.co/image/ab67616d00004851c52b8ae207c77b1508edf47d;14;ليه الجفا;['Abdullah Al Farwan'];9902
https://open.spotify.com/track/0BGwAKW4u8kWOhWFflZxfl;https://i.scdn.co/image/ab67616d000048518d67a1b7d486b5bd5cacee5e;15;Astronaut In The Ocean;['Masked Wolf'];8963
https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF;https://i.scdn.co/image/ab67616d00004851d4daf28d55fe4197ede848be;16;Levitating (feat. DaBaby);['Dua Lipa'];8924
https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4;https://i.scdn.co/image/ab67616d000048514df3245f26298a1579ecc321;17;Woman;['Doja Cat'];8835
https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi;https://i.scdn.co/image/ab67616d000048514df3245f26298a1579ecc321;18;Need To Know;['Doja Cat'];8820
https://open.spotify.com/track/2z8CpXdUCwzoWVSmvaVDIY;https://i.scdn.co/image/ab67616d000048510164c0f87857bfc058348818;19;خيبه;['غريب ال مخلص'];8310
https://open.spotify.com/track/7Jy2xkUWZBHpwEbBR5IdE7;https://i.scdn.co/image/ab67616d00004851b63981f6d21b2576a11d3783;20;La Hawl Wla Quwa;['Ayed'];8077
https://open.spotify.com/track/4QtFRUFS7BVi3OHUfmt2dP;https://i.scdn.co/image/ab67616d000048513e8ffa8a0a9db59845985aad;21;براڤو عليك;['Various Artists', 'Abdulaziz Louis', 'Bader AlShuaibi', 'Haneen Alkandari'];8064
https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG;https://i.scdn.co/image/ab67616d00004851a91c10fe9472d9bd89802e5a;22;good 4 u;['Olivia Rodrigo'];7988
https://open.spotify.com/track/67pgW0LyrChcjli8XyjT9U;https://i.scdn.co/image/ab67616d00004851984f1bab0cf077ed203c699b;23;شيلة طرب حماسية;['غنوة'];7802
https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0;https://i.scdn.co/image/ab67616d000048515ef878a782c987d38d82b605;24;positions;['Ariana Grande'];7582
https://open.spotify.com/track/00LX4aUgpDFG4zZO1H3Lx8;https://i.scdn.co/image/ab67616d00004851712621472b77a076a0671703;25;Kalby Jobarny - Live;['Yasser Abd El Wahab'];7235
https://open.spotify.com/track/0Ec98JWxzVe7eoTzQ28sat;https://i.scdn.co/image/ab67616d00004851eb3114d1e862353238edd44d;26;Shalaa Balahon;['Fawaz Ben Awad'];6991
https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8;https://i.scdn.co/image/ab67616d000048512a038d3bf875d23e4aeaa84e;27;Happier Than Ever;['Billie Eilish'];6362
https://open.spotify.com/track/6OGogr19zPTM4BALXuMQpF;https://i.scdn.co/image/ab67616d000048513c041e53cb5c38b6de03e758;28;Take My Breath;['The Weeknd'];6271
https://open.spotify.com/track/5D2L026JQTKC2gcq3qkYpj;https://i.scdn.co/image/ab67616d00004851eba47e27f961a298c4d46575;29;Fairytale;['Alexander Rybak'];6176
https://open.spotify.com/track/3rHrXOocY0wrgqLjpZITJv;https://i.scdn.co/image/ab67616d000048511820f1c433f57375fe0a93b5;30;البعد موتي;['غريب ال مخلص'];6159
https://open.spotify.com/track/100eDEmpWV5YGVCqHI0leU;https://i.scdn.co/image/ab67616d000048513f159ae07dd556323f39f47b;31;Audio (feat. Sia, Diplo, and Labrinth);['Sia', 'LSD'];6072
https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy;https://i.scdn.co/image/ab67616d00004851c6af5ffa661a365b77df6ef6;32;Save Your Tears (with Ariana Grande) (Remix);['The Weeknd'];6035
https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C;https://i.scdn.co/image/ab67616d0000485159ce61a220822995a3ccd27f;33;Arcade;['Duncan Laurence'];5997
https://open.spotify.com/track/6TOfPHF57Qhlbfm5lhZ9k1;https://i.scdn.co/image/ab67616d0000485133342c57a9b2c4e04c97b3f5;34;Be Alright;['Ariana Grande'];5954
https://open.spotify.com/track/6hdRHwO3HVpXqZKmmZQXbb;https://i.scdn.co/image/ab67616d00004851fdcf537b0825d1e9cd7545ba;35;Wasl Al Mahabah;['Mohammed Bin Grman'];5880
https://open.spotify.com/track/7CTkmBM1Ff1lc35v0rcD24;https://i.scdn.co/image/ab67616d0000485182518384a43f324f722c4723;36;ياروح الروح;['غريب ال مخلص'];5691
https://open.spotify.com/track/6NEJSZxzjuL72aheHI6lyY;https://i.scdn.co/image/ab67616d00004851403ebad4090b839119b0d5c5;37;أجمل غرامي;['Abdullah Al Farwan'];5637
https://open.spotify.com/track/2zRFrCapormSMSKfWh7Hu4;https://i.scdn.co/image/ab67616d00004851d3e059ba14bb41e6f62b600b;38;Sawb Al Riyadh;['Mashael'];5445
https://open.spotify.com/track/3oGUMQ4n2m6dP6qafNePth;https://i.scdn.co/image/ab67616d00004851f15b82248e74958c7ffcb1b2;39;كان يهمني;['Assala Nasri'];5343
https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk;https://i.scdn.co/image/ab67616d000048515aa05015cfa7bd2943c29b21;40;I WANNA BE YOUR SLAVE;['Måneskin'];5325
https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE;https://i.scdn.co/image/ab67616d0000485114a5222ca8fdf13d5c050496;41;Bad Habits;['Ed Sheeran'];5243
https://open.spotify.com/track/2bgTY4UwhfBYhGT4HUYStN;https://i.scdn.co/image/ab67616d000048516bb2b8231817c8d205d07fb2;42;Butter;['BTS'];5066
https://open.spotify.com/track/5ug1GBN1TQBxMskIAqyVyF;https://i.scdn.co/image/ab67616d00004851fb451b4f449d47ba9669530e;43;Saah Bass;['Mohammed Bin Grman', 'Rami Bn Grman'];5021
